,Rank,Title,Rating,Summary,Trailer,Year,Episodes,Main_Actor,Genres,Content_Rating,Tags,Users,Aired_Start,Aired_End
0,189,Thai Cave Rescue,8.7,The Limited Series is based on 2018’s world-famous event. Twelve boys from the same football team decided to spend an afternoon with their coach exploring the Tham Luang caves in northern Thailand. When heavy rainfall…,False,2022,6,Beam Papangkorn Lerkchaleampote ,  Drama  ,  G - All Ages ,"  Survival, Based On True Story, Rescue Mission, Brave Male Lead, Thai Mythology, Clever Male Lead, Co-produced, Biographical, Bilingual Supporting Character, Bilingual Female Lead   ",958,2022-09-22,2022-09-22
1,330,Project S: Skate Our Souls,8.6,"Boo, a student whose grades aren't promising, knows well that he falls short of his father's standards. Quietly, Boo has been suffering from depression for a long time. He doesn't eat or sleep well and has no friends,…",True,2017,8,James Teeradon Supapunpinyo ,"  Psychological,  Youth,  Drama,  Sports  ",  13+ - Teens 13 or older ,"  Skaters, Depression, Psychology, Self-harm, Friendship, Father-Son Relationship, Suicide, Doctor Female Lead, Skateboarding, High School   ",1692,2017-09-09,2017-09-09
2,349,Love Destiny,8.6,"This is a story where karma, merit, love destiny and a moon mantra combine to fling Kadesurang, a chubby archaeologist, into the body of another woman, Karakade, during the Ayutthaya era (300 years earlier). In the past,…",True,2018,15,Bella Ranee Campen ,"  Historical,  Comedy,  Romance,  Supernatural  ",  G - All Ages ,"  Sassy Female Lead, Time Travel, Transmigration, Soulmates, Fated Love, Eccentric Female Lead, Reincarnation, Strong Female Lead, Nice Male Lead, Hidden Identity   ",3080,2018-02-21,2018-02-21
3,382,The Gifted,8.6,"Ritdha Wittayakom High School has a ""Gifted Program."" The program offers special classes to a handful of ""special"" students chosen by the school administration. Incredibly, Pang, a tenth-year student from the lowest…",True,2018,13,Nanon Korapat Kirdpan ,"  Thriller,  Mystery,  Psychological,  Supernatural  ",  13+ - Teens 13 or older ,"  High School, Special Power, Multiple Mains, Adapted From A Novel, Corruption, Suspense, Hidden Talent, Teamwork, Friendship, Slight Romance   ",10248,2018-08-05,2018-08-05
4,391,Enigma,8.6,"There is something wrong with Fa's high school; strange events have been happening around her. In which way are they related to the new teacher, Ajin?

(Source: MyDramaList)",True,2023,4,Win Metawin Opas-iamkajorn ,"  Mystery,  Horror,  Youth,  Supernatural  ",  13+ - Teens 13 or older ,"  Teenager Female Lead, High School, Black Magic, Student Supporting Character, Student Female Lead, School Setting, Exorcist Male Lead, Teenager Supporting Character, Age Gap [Drama Life], Age Gap [Real Life]   ",2304,2023-07-15,2023-07-15
5,430,In Family We Trust,8.5,"This suspense drama revolves around the Jiraanans, a wealthy Thai-Chinese family that operates its own hotels in Bangkok and Pattaya. The drama follows the members of the family, which seem to enjoy a strong and unbreakable…",True,2018,18,Nappon Gomarachun ,"  Thriller,  Mystery,  Drama  ",  13+ - Teens 13 or older ,"  Huge Family, Lying, Murder, Bromance, Investigation, Suspense, Smart Male Lead, Jealous Female Lead, Family Conflict, Conflict   ",992,2018-09-14,2018-09-14
6,438,My School President,8.5,"Student body president Tinn has a secret crush on Gun, the head of the music club and lead singer of the middling band Chinzhilla. The son of the principal, Tinn is instructed to axe any clubs that don't boost their…",True,2022,12,Gemini Norawit Titicharoenrak ,"  Music,  Comedy,  Romance,  Youth  ",  13+ - Teens 13 or older ,"  Gay Romance, LGBTQ+, Healthy Mains’ Relationship, Club President Male Lead, Chasing A Dream, Secret Crush, Friendship, School Club, Band, Classmates' Relationship   ",16309,2022-12-02,2022-12-02
7,442,A Tale of Thousand Stars,8.5,"After a volunteer teacher Torfun dies in a tragic accident, her heart is transplanted into Tian. Tian learns about his donor’s life through a series of diary entries that reveal her secrets and interests. Included…",True,2021,10,Mix Sahaphap Wongratch ,"  Romance,  Drama  ",  13+ - Teens 13 or older ,"  Rural Life, Hardworking Male Lead, Heart Transplant, Character Development, Adapted From A Novel, LGBTQ+, Gay Romance, Strong Male Lead, Second Chance, Organ Transplantation   ",26353,2021-01-29,2021-01-29
8,452,Not Me,8.5,"Black and White are twins with a powerful connection. After their parents' separation, though, White’s father took him abroad, and their family effectively severed in two. It isn’t until fifteen years have passed…",True,2021,14,Gun Atthaphan Phunsawat ,"  Action,  Thriller,  Mystery,  Romance  ",  13+ - Teens 13 or older ,"  Social Commentary, Violence, Impersonation, LGBTQ+, Social Inequality, Hidden Identity, Gay Romance, Fight For Justice, Revenge, Political   ",25538,2021-12-12,2021-12-12
9,505,Girl From Nowhere,8.5,"A mysterious, clever girl named Nanno transfers to different schools, exposing the lies and misdeeds of the students and faculty at every turn.

(Source: Netflix)",True,2018,13,Kitty Chicha Amatayakul ,"  Mystery,  Psychological,  Drama,  Supernatural  ",  18+ Restricted (violence & profanity) ,"  Anthology, Death, High School, Calm Female Lead, Violence, Murder, Revenge, School Bullying, Rape, Suspense   ",16723,2018-08-08,2018-08-08
10,542,Bad Genius,8.5,What started from exam cheating in the classroom escalated to stealing a national test paper. These are not your everyday students. They're a reflection of the cheating that happens at every level in Thai society. Guaranteed…,True,2020,12,June Plearnpichaya Komalarajun ,"  Thriller,  Youth,  Drama  ",  15+ - Teens 15 or older ,"  Cheating, Poor Male Lead, Based On True Story, Slight Romance, Genius Female Lead, Genius Male Lead, Top Student, Strong Female Lead, Filmed Abroad, Theatre/Drama Club   ",1528,2020-08-03,2020-08-03
11,597,F4 Thailand: Boys Over Flowers,8.4,Gorya is a simple girl who works at a flower shop. She passes an exam and gets accepted into a prestigious and luxurious school attended by the wealthy. The school is ruled by an elite clique known as the F4 consisting…,True,2021,16,Tu Tontawan Tantivejakul ,"  Comedy,  Romance,  Youth,  Drama  ",  13+ - Teens 13 or older ,"  Strong Female Lead, Evil Parental Figure, Character Development, Enemies To Lovers, Adapted From A Manga, Friendship, Cyberbullying, Hardworking Female Lead, School Bullying, Rich Man/Poor Woman   ",15999,2021-12-18,2021-12-18
12,600,Happy Birthday,8.4,"Tonmai was born on the day that his sister died. His parents never celebrated his birthday and he had never received a birthday present. Then on his 17th birthday, his dad gave him his sister's room as a gift. In this…",True,2018,13,Push Puttichai Kasetsin ,"  Romance,  Drama,  Fantasy,  Supernatural  ",  G - All Ages ,"  Ghost-seeing Male Lead, Suicide, Family Relationship, Spirit Possession, Death, Ghost Female Lead, Brother-Sister Relationship, Flashback To Past, Hidden Past, Meet Again   ",1436,2018-10-07,2018-10-07
13,625,Kleun Cheewit,8.4,"Jeerawat is a hardworking woman, who is a famous model and actress. Her mother married a smarmy but rich man, who secretly lusts after her. After he attempts to drug Jeerawat, she manages to escape by driving away. Unfortunately,…",True,2017,15,Mark Prin Suparat ,"  Mystery,  Romance,  Drama,  Melodrama  ",  13+ - Teens 13 or older ,"  Strong Female Lead, Love/Hate Relationship, Misunderstanding, Revenge, Lack Of Communication, Sismance, Death, Entertainment Industry, Adapted From A Novel, Rich Female Lead   ",6807,2017-01-23,2017-01-23
