,Main_Actor,Aired,Genres,Content_Rating,Tags,Users
0,Beam Papangkorn Lerkchaleampote ,"  Sep 22, 2022 ",  Drama  ,  G - All Ages ,"  Survival, Based On True Story, Rescue Mission, Brave Male Lead, Thai Mythology, Clever Male Lead, Co-produced, Biographical, Bilingual Supporting Character, Bilingual Female Lead   ",  958 
1,James Teeradon Supapunpinyo ,"  Sep  9, 2017 - Nov 25, 2017 ","  Psychological,  Youth,  Drama,  Sports  ",  13+ - Teens 13 or older ,"  Skaters, Depression, Psychology, Self-harm, Friendship, Father-Son Relationship, Suicide, Doctor Female Lead, Skateboarding, High School   ","  1,692 "
2,Bella Ranee Campen ,"  Feb 21, 2018 - Apr 11, 2018 ","  Historical,  Comedy,  Romance,  Supernatural  ",  G - All Ages ,"  Sassy Female Lead, Time Travel, Transmigration, Soulmates, Fated Love, Eccentric Female Lead, Reincarnation, Strong Female Lead, Nice Male Lead, Hidden Identity   ","  3,080 "
3,Nanon Korapat Kirdpan ,"  Aug  5, 2018 - Nov  4, 2018 ","  Thriller,  Mystery,  Psychological,  Supernatural  ",  13+ - Teens 13 or older ,"  High School, Special Power, Multiple Mains, Adapted From A Novel, Corruption, Suspense, Hidden Talent, Teamwork, Friendship, Slight Romance   ","  10,248 "
4,Win Metawin Opas-iamkajorn ,"  Jul 15, 2023 - Aug  5, 2023 ","  Mystery,  Horror,  Youth,  Supernatural  ",  13+ - Teens 13 or older ,"  Teenager Female Lead, High School, Black Magic, Student Supporting Character, Student Female Lead, School Setting, Exorcist Male Lead, Teenager Supporting Character, Age Gap [Drama Life], Age Gap [Real Life]   ","  2,304 "
5,Nappon Gomarachun ,"  Sep 14, 2018 - Nov 10, 2018 ","  Thriller,  Mystery,  Drama  ",  13+ - Teens 13 or older ,"  Huge Family, Lying, Murder, Bromance, Investigation, Suspense, Smart Male Lead, Jealous Female Lead, Family Conflict, Conflict   ",  992 
6,Gemini Norawit Titicharoenrak ,"  Dec  2, 2022 - Feb 24, 2023 ","  Music,  Comedy,  Romance,  Youth  ",  13+ - Teens 13 or older ,"  Gay Romance, LGBTQ+, Healthy Mains’ Relationship, Club President Male Lead, Chasing A Dream, Secret Crush, Friendship, School Club, Band, Classmates' Relationship   ","  16,309 "
7,Mix Sahaphap Wongratch ,"  Jan 29, 2021 - Apr  2, 2021 ","  Romance,  Drama  ",  13+ - Teens 13 or older ,"  Rural Life, Hardworking Male Lead, Heart Transplant, Character Development, Adapted From A Novel, LGBTQ+, Gay Romance, Strong Male Lead, Second Chance, Organ Transplantation   ","  26,353 "
8,Gun Atthaphan Phunsawat ,"  Dec 12, 2021 - Mar 20, 2022 ","  Action,  Thriller,  Mystery,  Romance  ",  13+ - Teens 13 or older ,"  Social Commentary, Violence, Impersonation, LGBTQ+, Social Inequality, Hidden Identity, Gay Romance, Fight For Justice, Revenge, Political   ","  25,538 "
9,Kitty Chicha Amatayakul ,"  Aug  8, 2018 - Oct 31, 2018 ","  Mystery,  Psychological,  Drama,  Supernatural  ",  18+ Restricted (violence & profanity) ,"  Anthology, Death, High School, Calm Female Lead, Violence, Murder, Revenge, School Bullying, Rape, Suspense   ","  16,723 "
10,June Plearnpichaya Komalarajun ,"  Aug  3, 2020 - Sep  8, 2020 ","  Thriller,  Youth,  Drama  ",  15+ - Teens 15 or older ,"  Cheating, Poor Male Lead, Based On True Story, Slight Romance, Genius Female Lead, Genius Male Lead, Top Student, Strong Female Lead, Filmed Abroad, Theatre/Drama Club   ","  1,528 "
11,Tu Tontawan Tantivejakul ,"  Dec 18, 2021 - Apr  9, 2022 ","  Comedy,  Romance,  Youth,  Drama  ",  13+ - Teens 13 or older ,"  Strong Female Lead, Evil Parental Figure, Character Development, Enemies To Lovers, Adapted From A Manga, Friendship, Cyberbullying, Hardworking Female Lead, School Bullying, Rich Man/Poor Woman   ","  15,999 "
