#189,Thai Cave Rescue,"Thai Drama - 2022, 6 episodes",8.7,The Limited Series is based on 2018’s world-famous event. Twelve boys from the same football team decided to spend an afternoon with their coach exploring the Tham Luang caves in northern Thailand. When heavy rainfall…
#330,Project S: Skate Our Souls,"Thai Drama - 2017, 8 episodes",8.6,"Boo, a student whose grades aren't promising, knows well that he falls short of his father's standards. Quietly, Boo has been suffering from depression for a long time. He doesn't eat or sleep well and has no friends,…",Watch Trailer
#349,Love Destiny,"Thai Drama - 2018, 15 episodes",8.6,"This is a story where karma, merit, love destiny and a moon mantra combine to fling Kadesurang, a chubby archaeologist, into the body of another woman, Karakade, during the Ayutthaya era (300 years earlier). In the past,…",Watch Trailer
#382,The Gifted,"Thai Drama - 2018, 13 episodes",8.6,"Ritdha Wittayakom High School has a ""Gifted Program."" The program offers special classes to a handful of ""special"" students chosen by the school administration. Incredibly, Pang, a tenth-year student from the lowest…",Watch Trailer
#391,Enigma,"Thai Drama - 2023, 4 episodes",8.6,"There is something wrong with Fa's high school; strange events have been happening around her. In which way are they related to the new teacher, Ajin?

(Source: MyDramaList)",Watch Trailer
#430,In Family We Trust,"Thai Drama - 2018, 18 episodes",8.5,"This suspense drama revolves around the Jiraanans, a wealthy Thai-Chinese family that operates its own hotels in Bangkok and Pattaya. The drama follows the members of the family, which seem to enjoy a strong and unbreakable…",Watch Trailer
#438,My School President,"Thai Drama - 2022, 12 episodes",8.5,"Student body president Tinn has a secret crush on Gun, the head of the music club and lead singer of the middling band Chinzhilla. The son of the principal, Tinn is instructed to axe any clubs that don't boost their…",Watch Trailer
#442,A Tale of Thousand Stars,"Thai Drama - 2021, 10 episodes",8.5,"After a volunteer teacher Torfun dies in a tragic accident, her heart is transplanted into Tian. Tian learns about his donor’s life through a series of diary entries that reveal her secrets and interests. Included…",Watch Trailer
#452,Not Me,"Thai Drama - 2021, 14 episodes",8.5,"Black and White are twins with a powerful connection. After their parents' separation, though, White’s father took him abroad, and their family effectively severed in two. It isn’t until fifteen years have passed…",Watch Trailer
#505,Girl From Nowhere,"Thai Drama - 2018, 13 episodes",8.5,"A mysterious, clever girl named Nanno transfers to different schools, exposing the lies and misdeeds of the students and faculty at every turn.

(Source: Netflix)",Watch Trailer
#542,Bad Genius,"Thai Drama - 2020, 12 episodes",8.5,What started from exam cheating in the classroom escalated to stealing a national test paper. These are not your everyday students. They're a reflection of the cheating that happens at every level in Thai society. Guaranteed…,Watch Trailer
#597,F4 Thailand: Boys Over Flowers,"Thai Drama - 2021, 16 episodes",8.4,Gorya is a simple girl who works at a flower shop. She passes an exam and gets accepted into a prestigious and luxurious school attended by the wealthy. The school is ruled by an elite clique known as the F4 consisting…,Watch Trailer
#600,Happy Birthday,"Thai Drama - 2018, 13 episodes",8.4,"Tonmai was born on the day that his sister died. His parents never celebrated his birthday and he had never received a birthday present. Then on his 17th birthday, his dad gave him his sister's room as a gift. In this…",Watch Trailer
#625,Kleun Cheewit,"Thai Drama - 2017, 15 episodes",8.4,"Jeerawat is a hardworking woman, who is a famous model and actress. Her mother married a smarmy but rich man, who secretly lusts after her. After he attempts to drug Jeerawat, she manages to escape by driving away. Unfortunately,…",Watch Trailer
#632,Bad Buddy,"Thai Drama - 2021, 12 episodes",8.4,"Ever since they were young, Pran and Pat's families had a deep and raging rivalry, trying to one-up each other on everything. This also extended to their sons. Comparing their sons' achievements and merits,—whether…",Watch Trailer
#660,Project S: Side by Side,"Thai Drama - 2017, 8 episodes",8.4,"Gym, an autistic teenager who was often bullied by his peers, decides to join the badminton team with his cousin Dong. However, Gym plays better than Dong, as Gym is able to control the dynamics of the game, leading…",Watch Trailer
#781,The Warp Effect,"Thai Drama - 2022, 12 episodes",8.4,"Alex breaks the oath he made to his mother forbidding him from losing his virginity before turning eighteen, causing chaos he never could've anticipated. In 2011, seventeen-year-old Alex lacks self-confidence and his…",Watch Trailer
#797,Moonlight Chicken,"Thai Drama - 2023, 8 episodes",8.4,"Jim is an ordinary guy running a Hainanese chicken rice diner. One night, he meets breezy Wen when he stays past closing drunk. Brought together by fate that night, intangible feelings arise. Neither can stop thinking…",Watch Trailer,Watch Online,
#806,Full House,"Thai Drama - 2014, 20 episodes",8.4,"Aom is a writer who got swindled out of her house during her trip to Korea. She finds out that her house was sold to Mike and in an attempt to get her possessions back, she enters a contract marriage with Mike for one…",Watch Trailer
#858,P.S. I Hate You,"Thai Drama - 2022, 18 episodes",8.3,"A secret tape of Phanthiwa is exposed at her wedding to Phureenat. Humiliated by the incident, she resolves to commit suicide. It was only her five-person friend group who knew Phantiwa's secret. Meena tries to find…",Watch Trailer
#880,Daughters,"Thai Drama - 2020, 24 episodes",8.3,"Five teenagers suffered neglect from their families. They were entangled in various problems such as rape, homophobia, prostitution, domestic abuse, and drug addiction. One day, all of them decided to flee their house…",Watch Trailer
#916,Who Are You,"Thai Drama - 2020, 18 episodes",8.3,"After enduring vicious bullying, an orphaned student, Mind, attempts to take her life in hopes of escaping her problems. Miraculously, she survives with memory loss and wakes up with a new life as she takes on the identity…",Watch Trailer
#954,The Gifted Graduation,"Thai Drama - 2020, 13 episodes",8.3,"Two years have passed and the new school year begins again. With it comes the resurrection of the Gifted program, and a hidden threat from the Ministry led by Darin, a new teacher. Time, a promising new student and member…",Watch Trailer
#950,To the Moon and Back,"Thai Drama - 2023, 21 episodes",8.3,"Doctor Purim, a famous neurosurgeon, is born into a rich and well-known family. His father is a famous professor of economics and his mother is a former famous actress. With his perfect family background, his father…",Watch Trailer
#964,Hua Jai Sila,"Thai Drama - 2019, 27 episodes",8.3,"Tor is the love child of a mistress and a wealthy hi-so man. After his mother dies from neglect, Tor is forced to live with his father’s family. Abused by his stepmother and stepbrother, he turns to the girl-next-door…",Watch Trailer
#1002,Home School,"Thai Drama - 2023, 18 episodes",8.3,"Home School is a boarding school in the middle of a remote forest. Every three years, the school selects new students who meet their criteria, each generation comprising no more than thirteen students. The students spend…",Watch Trailer
#1017,Triage,"Thai Drama - 2022, 13 episodes",8.3,"Third-year emergency medicine resident Tin has to cope with a deluge of different patients every day. Up until the eighteenth, that is. Tin's life is transformed when university student Tol's car is overturned and he's…",Watch Trailer
#1032,"To Sir, With Love","Thai Drama - 2022, 17 episodes",8.3,"The Five Dragon Guild is under the leadership of Jao Sua Song. He's skilled and in control in business, but things in the family have become chaotic. By his main wife Li, he has his eldest son Thian. He has a secondary…",Watch Trailer
#1047,My Secret Bride,"Thai Drama - 2019, 18 episodes",8.3,"Suam is a mischievous girl who grew up in the slums. She develops a crush on Danurut, a good cop, the first time she meets him due to his good looks and kindness. They met previously at the police station when Danurut…",Watch Trailer
#1070,The Eclipse,"Thai Drama - 2022, 12 episodes",8.3,"The country's leading all-boys school, Suppalo, is strictly governed. Rumour has it that a curse will punish students who act out, a curse that grows stronger as the solar eclipse nears. But where there are rules, there…",Watch Trailer
#1117,Manner of Death,"Thai Drama - 2020, 14 episodes",8.3,"Dr. Bunnakit is a medical examiner based at a provincial hospital. One day, after carrying out an autopsy on the body of a woman who had seemingly hanged herself, Dr. Bunnakit rules out suicide as his findings point…",Watch Trailer
